,Index,Tamil,English
59,59,பிட்காயின் உள்ளிட்ட க்ரிப்டோ வர்த்தகத்திற்கு செக்.. இனி 30% விர்ச்சுவல் வரி..! - நிர்மலா சீதாராமன் , Check for crypto trading including bitcoin.. Now 30% virtual tax..! - Nirmala Sitharaman
60,60,மின் வாகனங்களில் பேட்டரி சார்ஜ் செய்வதற்கு பதில் மாற்றலாம்! பட்ஜெட்டில் அறிவித்த நிர்மலா சீதாராமன்! ,The answer to battery charging in electric vehicles can be changed! Nirmala Sitharaman announced in the budget!
61,61,அன்று புறநானூறு.. திருக்குறள்.. இன்று மகாபாரதம் - பட்ஜெட் உரையில் மேற்கோள்காட்டி பேசிய நிதியமைச்சர் , On that day it was four hundred.. Thirukkural.. today Mahabharata - Finance Minister quoted in the budget speech
62,62,"மக்களே.. இந்த வருடத்தில், பிரதமரின் வீட்டு வசதி திட்டத்தின்கீழ் 80 லட்சம் வீடுகள்- நிர்மலா சீதாராமன்"," People.. In this year, 80 lakh houses under PM's housing scheme- Nirmala Sitharaman"
63,63,'இந்தியாவில் 5ஜி இணைய சேவை.. இந்த ஆண்டே அலைக்கற்றை ஏலம்..' நிர்மலா சீதாராமன் அறிவிப்பு! ,'5G internet service in India.. Wave spectrum auction this year..' Nirmala Sitharaman announcement!
64,64,"ஏர் இந்தியாவை விற்றுவிட்டோம், அடுத்து எல்ஐசி பங்குகள் விற்பனை தொடங்குறோம் -பட்ஜெட்டில் நிர்மலா உரை "," We have sold Air India, we will start selling LIC shares next - Nirmala's speech on Budget"
65,65," எகிறி அடித்த பட்ஜெட்.. ""ஒரே நாடு.. ஒரே பதிவு"".. ஒரே குடையின் கீழ் இணைக்கப்படும் திட்டம் இதுதான்..!"," This is the scheme that will be merged under one umbrella.. ""One country.. One record"".."
66,66, பட்ஜெட்டுக்கு பிறகு எந்த வரியெல்லாம் மாறப்போகுது தெரியுமா?.. முழு விவரம்!, Do you know which taxes will change after the budget?.. Full details!
67,67,"பட்ஜெட் அறிவிப்பால் விலையேற போகும் பொருட்கள், விலை குறைய போகும் பொருட்கள்.. என்னென்ன?","What are the items that will go up in price due to the budget announcement, the items that will go down in price?"
68,68,Budget 2022 : இனி தபால் நிலையங்களிலும் நெட் பேங்கிங்.. நிதியமைச்சர் நிர்மலாவின் அசத்தல் அறிவிப்பு , Budget 2022: Now net banking at post offices too..Finance Minister Nirmala's strange announcement
69,69,"பெண்கள் வளர்ச்சிக்காக.. மிஷன் ஷகி , மிஷன் வாத்சல்யா, போஷன் 2.0 திட்டங்கள்.. பட்ஜெட்டில் அறிவிப்பு "," For women development.. Mission Shaki, Mission Vatsalya, Poshan 2.0 projects.. Announcement in budget"
70,70,"மோடி அரசின் ஜீரோ பட்ஜெட்.. விவசாயிகள், ஏழைகள் என யாருக்கும் இதனால் பயனில்லை.. ராகுல் காந்தி விமர்சனம் ", Zero Budget of Modi Govt.. Farmers and poor people are not benefited by this.. Rahul Gandhi Criticism
71,71, எல்லா விவரமும் சின்ன சிப்பில்.. இந்தியாவில் இனி இ பாஸ்போர்ட்! எப்படி இருக்கும்? சுவாரசிய பின்னணி! ,All the details in a small chip.. E-passport in India! How about? Interesting background!
72,72,பயிர் கொள்முதல் திட்டம்.. 2.73 லட்சம் கோடி நிதி பெற்ற விவசாயிகள்.. நிர்மலா சீதாராமன் , Crop purchase scheme.. Farmers who got 2.73 lakh crore funds.. Nirmala Sitharaman
73,73,பட்ஜெட் முடிந்ததும்.. வேக வேகமாக.. எதிர்க்கட்சிகளின் இருக்கைக்கு சென்ற பிரதமர் மோடி! ஏன்? என்னாச்சு? ," After the end of the budget, Prime Minister Modi went to the seat of the opposition parties! Why? what happened?"
74,74,குறைந்தபட்ச ஆதார விலைக்கு ரூ2.25 லட்சம் கோடி- விவசாயிகளின் வருவாய் இரட்டிப்பாகிறது: பிரதமர் மோடி , Rs 2.25 lakh crore for minimum support price-doubles farmers' income: PM Modi
75,75,Budget 2022: துரோகமிழைத்த பட்ஜெட் பாக்கெட்டில் பணமில்லை “நத்திங் பட்ஜெட்” - போட்டு தாக்கிய காங்கிரஸ்,"Budget 2022: There is no money in the treacherous budget pocket ""Nothing Budget"" - Congress attacked"
76,76,தர்மத்தின் வழியில் ஆட்சி.. பட்ஜெட்டில் நிர்மலா சீதாராமன் சொன்ன மகாபாரத ஸ்லோகத்தின் அர்த்தம் என்ன? , Governance in the way of dharma.. What is the meaning of Mahabharata sloka said by Nirmala Sitharaman in budget?
77,77,Budget 2022: பூஜ்யம் பெகாசஸ் ஸ்பின் பட்ஜெட் ஒற்றை வரியில் ஒட்டுமொத்தமாய் பட்ஜெட்டை விமர்சித்த மம்தா, Budget 2022: Zero Pegasus spin Budget single line Mamata criticizes Budget as a whole
78,78,உலக தலைவர்களில் நம்பர் ஒன்.. யூடியூபில் 1 கோடி சப்ஸ்கிரைபர்களை பெற்ற பிரதமர் மோடி.. ஜோ பைடன் எந்த இடம் ,Number one among world leaders.. Prime Minister Modi who got 1 crore subscribers on YouTube.. Where is Joe Biden?
79,79,5 ஜி என சொன்ன நிர்மலா சீதாராமன்.. அப்போ பிஎஸ்என்எல்? கோஷமிட்ட எதிர்க்கட்சிகள்! , Nirmala Sitharaman who said 5G.. What about BSNL? Chanted opposition parties!
80,80,அப்பட்டமான முதலாளித்துவ உரை.. ஏழைகளுக்கு எந்த திட்டமும் இல்லை.. ப. சிதம்பரம் சரமாரி விமர்சனம் , Blatant Capitalism text.. no plan for the poor.. p. Chidambaram is a barrage of criticism
81,81,அதெப்படி ஜீரோ பட்ஜெட் என சொல்லலாம்? பொறுப்பற்ற விமர்சனம்-ராகுல் காந்திக்கு நிர்மலா சீதாராமன் கண்டனம், How can you say zero budget? Irresponsible criticism- Nirmala Sitharaman slams Rahul Gandhi
82,82,பாதுகாப்பு துறைக்கான பட்ஜெட்.. இந்திய விமானப் படைக்கு அதிக நிதி ஒதுக்கீடு! ,The budget for the defense department.. More funds for the Indian Air Force!
83,83, 4 ஆண்டுகளில் இது தான் கம்மி! வெறும் 90 நிமிடங்களில் முடிந்த இந்த ஆண்டிற்கான பட்ஜெட் உரை, This is the gummy in 4 years! This year's budget speech was completed in just 90 minutes
84,84,அருணாச்சல பிரதேச இளைஞரை கடத்தி கரண்ட் ஷாக் கொடுத்து சீன ராணுவம் அட்டூழியம்! , Arunachal Pradesh youth abducted and given electric shock by Chinese army atrocity!
85,85,பாஜகவின் முகமாக உருமாறிய சீமான்... நாம் தமிழர் கட்சிக்கு குட் பை- திமுகவில் திண்டுக்கல் நிர்வாகிகள்! ," Seeman, who has become the face of BJP... Good bye to Nam Tamil party- Dindigul administrators in DMK!"
86,86,"""டார்கெட் கோவா.."" வியூகம் வகுத்து களமிறங்கிய ப.சிதம்பரம்.. புத்துணர்ச்சியில் காங்கிரஸ் தொண்டர்கள் ","""Target Goa"""
87,87,சிஐஎஸ்எப்-இல் 1149 பணியிடம்.. பிளஸ் 2 முடித்திருந்தால் போதும்.. எப்படி விண்ணப்பிக்க வேண்டும்? , 1149 post in CISF.. Plus 2 completion is enough.. How to apply?
88,88, என்ன அநியாயம் இது? கொந்தளித்த ஜோதிமணி.. எதுவும் சொல்லாத செந்தில் பாலாஜி.. மீட்டிங்கில் நடந்தது என்ன? , What injustice is this? Jyothimani who was upset.. Senthil Balaji who didn't say anything.. What happened in the meeting?
89,89,படுக்கையறையில்.. காதலியுடன் படுத்துக் கொண்டே சாதனை புரிந்த நபர்.. கோடி கோடியாய் கொட்டிய பணம்,In the bedroom.. the person who achieved success while sleeping with his girlfriend.. He poured crores of money
90,90,"""தொப்பியில்"" ரத்தம்.. அகிலேஷை ரவுண்டு கட்டும் பாஜக.. திமிறி எழும் சமாஜ்வாதி.. பரபர ""சிவப்பு அரசியல்"""," ""Blood in the hat"""
91,91,அரசு பள்ளிக்குள் திடீரென விசிட் அடித்த அமைச்சர் அன்பில் மகேஷ்.. அதிர்ச்சியில் உறைந்து நின்ற ஆசிரியர், Minister Anbil Mahesh suddenly paid a visit to the government school.. The teacher froze in shock
92,92," ரூ.700க்கு மட்டன், ரூ.500க்கு பிட்சா வாங்குறீங்க..வெங்காயம் விலைக்கு கோவப்படுவது ஏன்? பாஜக அமைச்சர்",You buy mutton for Rs.700 and pizza for Rs.500..Why is the price of onion so high? BJP minister
93,93,"வசந்த பஞ்சமி, ரத சப்தமி.. மாசி மகம் பிப்ரவரி மாத திருவிழாக்கள் - சந்திராஷ்டம தினங்கள் "," Vasantha Panchami, Ratha Saptami.. Masi Magam February Festivals - Chandrashtam days"
94,94,2 அபார்ஷன்.. மிட்நைட்டில்.. சுடுகாட்டில் கதறிய குரல்.. கீழே கிடந்த லுங்கி.. பதறிப்போன கள்ளக்குறிச்சி, 2 Abortion.. At midnight.. A voice screamed in the forest.. Lungi lying on the ground.. A panicked Kalkurichi.
95,95,கச்சதீவு அருகே மீன்பிடித்த 21 தமிழக மீனவர்கள் கைது - விசைப்படகுகளை பறிமுதல் செய்த இலங்கை கடற்படை ,21 Tamil Nadu fishermen arrested for fishing near Kachchadivu - Sri Lanka Navy seized boats
96,96,பிக்பாஸ் அல்டிமேட்:டாஸ்க் என்கிற பெயரில் இந்த மாதிரியா கேள்வி கேட்பாங்க...முகம் சுளிக்கும் ரசிகர்கள், Ask this kind of question in the name of Bigg Boss Ultimate: Task...fans are frowning
97,97,"பிக்பாஸ் அல்டிமேட்: விடாமுயற்சி தான் முக்கியம், நான் விடமாட்டேன்.. அனிதாவை வாயடைக்க வைத்த வனிதா "," Bigg Boss Ultimate: Persistence is key, I won't give up.. Vanita who shuts Anita up"
98,98,பிக்பாஸ் அல்டிமேட்:இரட்டை அர்த்தத்திலேயே பேசி தள்ளும் சுரேஷ் சக்கரவர்த்தி..நிரூப் செய்த திடீர் செயல்,Bigg Boss Ultimate: Suresh Chakraborty's double meaning.
99,99,"பிக்பாஸ் அல்டிமேட்: அப்போ அப்படி பேசிய தாமரையா, இப்போ இப்படி பேசுவது...இப்படி மாறிவிட்டாரே "," Bigg Boss Ultimate: Thamaraiya who spoke like that then, now you speak like this... have you changed like this?"
100,100,பிக்பாஸ் அல்டிமேட்: நடிகர்கள் ஆகிவிட்டாலே கடவுளா.. கொந்தளித்த சினேகன்..யாருக்கு இந்த கேள்வி தெரியுமா, Bigg Boss Ultimate: God after becoming actors.
101,101,பிக்பாஸ் அல்டிமேட்: என் மூளைக்குள் நீங்க இருக்கீங்களா..அபிராமிக்கு நிரூப் கொடுத்த காரசாரமான பதில் ,Bigg Boss Ultimate: Are you in my brain?
102,102,பிக்பாஸ் அல்டிமேட்: ஓவியாவை பற்றி மீண்டும் ஜூலியிடம் கேள்வி... இந்தமுறை இதுதான் பதிலா , Bigg Boss Ultimate: Question to Julie again about Oviya... This time this is the answer?
103,103,பிக்பாஸ் அல்டிமேட்: தவறை சரி செய்ய நினைத்த பாலா.. மீண்டும் பற்றவைத்த சுரேஷ் சக்கரவர்த்தி, Bigg Boss Ultimate: Suresh Chakraborty rekindled Bala who wanted to fix the mistake..
104,104,பிக்பாஸ் அல்டிமேட்: அந்த கேள்விக்கு கடுப்பான வனிதா..கூச்சத்தில் தாடி பாலாஜி..நிரூப்பின் விளக்கம், Bigg Boss Ultimate: Vanita is tough on that question.. Balaji is shy and bearded.. Explanation of the proof
105,105,தஞ்சை மேயர் யார்? திமுக வேட்பாளர் லிஸ்டில் இடம்பெற்றுள்ள அந்த 2 பேர்! உள்ளாட்சித் தேர்தல் விறு விறு!,Who is the mayor of Tanjore? Those 2 people in the DMK candidate list! Local government elections are busy!
106,106, தாய் அமமுகவில்.. மகள் காங்கிரஸில்.. திருப்பூரில் களமிறங்கும் தீபிகா அப்புக்குட்டி.. யார் இவர்?, Mother in Amamukha.. Daughter in Congress.. Deepika Appukutty who is playing in Tirupur.. Who is this?
107,107,அமைச்சர் கீதா ஜீவன் தம்பிக்கு தூத்துக்குடியில் போட்டியிட வாய்ப்பு! சீட் வாங்கி தந்த கனிமொழி! , Minister Geetha Jeevan Thambi has a chance to contest in Thoothukudi! Kanimozhi bought the seat!
108,108,கொரோனாவால் பாதிக்கப்பட்டவர்களை விட குணமடைந்தவர்கள் அதிகம் - மீளும் நம்பிக்கை , There are more recoveries than those infected with Corona - hope for recovery
109,109,நாட்டின் மிகப்பெரிய சாப்ட்வேர் தொழில்நுட்ப பூங்கா.. பெங்களூர் மான்யதா டெக் பார்க்கிற்கு சீல்! ,The country's largest software technology park.. Sealed for Bangalore Manyata Tech Park!
110,110,ஈயடிச்சான் காப்பி... கெஜ்ரிவால் பாணியில் பஞ்சாப் முதல்வர் வேட்பாளர் குறித்து சர்வே நடத்தும் காங். , Eyadichan Kappi...Kejriwal-style Congress conducting survey on Punjab CM candidate.
111,111,உள்ளாடையில் கூடவா?.. தலைமுடியை அவிழ்த்து பார்த்த பெண் போலீஸ்.. 3 பெண்கள் செய்த பகீர் காரியம்..! , Can it be in underwear?.. The woman police who saw her hair untied.. 3 women did the wrong thing..!
112,112,உள்ளாட்சி தேர்தல் போட்டியிட இருந்த.. திமுக வேட்பாளர் வெட்டிப் படுகொலை! சென்னையில் பயங்கரம்,DMK candidate who was contesting the local body election was hacked to death! Terrible in Chennai
