,Index,Tamil,English
39,39,ஆபரேஷன் கங்கா.. மீட்பு பணியில் களமிறங்கிய‌ இந்திய விமானப்படை - பிரதமர் மோடி உத்தரவு! , Operation Ganga.. Indian Air Force launched rescue mission - Prime Minister Modi ordered!
40,40,'எய்ம்ஸ்' மருத்துவமனையைக் கொண்டுவருவோம்.. - மணிப்பூர் பிரசாரத்தில் பிரதமர் மோடி அறிவிப்பு! ,We will bring 'AIIMS' hospital... - PM Modi's announcement in Manipur campaign!
41,41, உக்ரைன் மீதான ரஷ்யாவின் யுத்தம்- உலக நாடுகள் எந்த பக்கம் நிற்கின்றன? , Russia's War on Ukraine - Which Side of the World Stands?
42,42,உக்ரைனில் ரஷ்ய தாக்குதலில் இறந்த கர்நாடக மாணவர்.. பெற்றோருக்கு போனில் பிரதமர் மோடி ஆறுதல் , Karnataka student who died in the Russian attack in Ukraine.. Prime Minister Modi consoled the parents on the phone
43,43,"""ரைபிள் துப்பாக்கியால் அடி! கெஞ்சியும் காவலர்கள் அனுமதிக்கவில்லை.."" தாயகம் திரும்பிய மாணவர்கள் வேதனை"," ""Begged with a rifle! The guards did not allow it.."" The students who returned to their homeland are in agony"
44,44," ""ஆப்ரேஷன் கங்கா""வில் C-17 ராணுவ விமானம்! பிரதமர் மோடி முக்கிய உத்தரவு! ஏன் முக்கியம்.. பரபர தகவல்","C-17 military aircraft in ""Operation Ganga""! Prime Minister Modi's important order! Why is it important.. Parabhara information"
45,45,"""60% பேர் ஏற்கனவே வெளியேறிவிட்டனர், அடுத்த 3 நாட்களில் 26 சிறப்பு விமானங்கள்!"" மத்திய அரசு அறிவிப்பு"," ""60% already left, 26 special flights in next 3 days!"" Notification of Central Govt"
46,46,"கன்னத்தை கிள்ளி.. முதுகில் தடவிய ""கணக்கு"" வாத்தியார்.. கிளாஸ்ரூமிலேயே.. கதறிய மாணவி.. தூக்கிய போலீஸ்", He pinched her cheek and slapped her on the back.
47,47, உக்ரைன் லுபோவ் Weds ஹைதராபாத் பிரதீக்.. தேசம் கடந்த நேசம்! , Ukraine Lubov Weds Hyderabad Prateek .. Nation Past Love!
48,48,யுக்ரேனில் இருந்து தப்பிக்க 28 மணி நேரம் காரில் பயணித்த இந்திய மாணவிகள்,Indian schoolgirls traveled by car for 28 hours to escape Ukraine
49,49,ராகுல் விழா மேடையில் ஈ.வி.கே.எஸ். இளங்கோவன் கொதித்தது ஏன்?, EVKS on Rahul festival stage. Why is Ilangovan boiling?
50,50, உக்ரைன் போர்.. பெலராஸில் நடைபெற்ற அமைதி பேச்சுவார்த்தை நிறைவு.. ஆலோசிக்கப்பட்டது என்ன? பரபர தகவல், The war in Ukraine.. The peace talks held in Belarus.. What was discussed? Miscellaneous information
51,51,போதும்.. நிறுத்துங்கள்! உக்ரைன் போர்.. ரஷ்யாவிற்கு ஐநா பொது சபை கடும் கண்டனம்.. அவசர கூட்டம் , Enough.. Stop! Ukraine war.. UN General Assembly strongly condemns Russia.. Emergency meeting
52,52,"""வார் கிரைம்"".. உக்ரைனில் கொத்து கொத்தாக vaccum குண்டுகளை போடும் ரஷ்யா? பரபரப்பு.. பெரும் ஆபத்து! ","""War Crime"".. Russia Dropping Clusters of Vaccum Bombs in Ukraine? Excitement.. Great danger!"
53,53,"""கர்கிவ் பேரழிவு"".. கொடூர ஆயுதங்களை திறந்துவிட்ட புடின்! சின்னாபின்னமான பெரிய நகரம்! உக்ரைனில் சோகம் "," ""Kharkiv disaster"".. Putin has opened the cruel weapons! A small big city! Tragedy in Ukraine"
54,54,"""ஹை அலர்ட்"".. தயாராக இருங்கள்.. அணு ஆயுத படைக்கு உத்தரவிட்ட புடின்.. பதற வைக்கும் ரஷ்யா பிளான்? "," ""High Alert"".. Be Prepared.. Putin Ordered Nuclear Forces.. Russia Plan To Spook?"
55,55,ரஷ்யாவின் யுத்தம்: கேள்விக்குறியாக இலங்கை ஏற்றுமதி மட்டுமல்ல..இந்திய வம்சாவளி தமிழரின் எதிர்காலமும்!,"Russia's war: Not only Sri Lanka's exports are in question, but also the future of Tamils of Indian origin!"
56,56,உக்ரைன் போரில்.. ரஷ்யா அணு ஆயுதத்தை பயன்படுத்தினால் அடுத்து என்ன நடக்கும் தெரியுமா? , Do you know what will happen next if Russia uses nuclear weapon in Ukraine war?
57,57,உக்ரைன் மீதான ரஷ்யாவின் யுத்தம் இப்போதைக்கு ஓயாது? களத்தில் இணையப் போகின்றன அடுத்தடுத்த நாடுகள்? , Is Russia's War on Ukraine Ending Now? Next countries are going to join the field?
58,58,"Fact check: புடினை ஹிட்லரோடு ஒப்பிட்டு கவர் படம் வெளியிட்டதா, உலக புகழ் பெற்ற டைம் இதழ்?", Fact check: Did the world-renowned Time magazine publish a cover picture comparing Putin to Hitler?
59,59,அவ்வளவு ஈஸி இல்லை! விக்கித்து போன புடின்! ஸ்மார்ட் கேம் ஆடும் உக்ரைன் அதிபர்! பரபர உளவுத்துறை REPORT,Not so easy! Crazy Putin! The president of Ukraine playing a smart game! PARABRA INTELLIGENCE REPORT
60,60,வீழும் உக்ரைன் தலைநகர் கீவ்...64 கி.மீ நீளத்துக்கு அணிவகுக்கும் ரஷ்யா படைகள்- பற்றி எரியும் வீடுகள்! , Falling Ukraine's capital Kiev... 64 km long marching Russian troops - burning houses!
61,61, உக்ரைன்: கார்கிவ் நகரில் ரஷ்யா குண்டுவீச்சில் இந்திய மாணவர் பலி- கர்நாடகாவை சேர்ந்தவர்!, Ukraine: Indian student killed in Kharkiv bombing by Russia - from Karnataka!
62,62,"""ஏதோ"" சரியில்லை.. தனிமையில்.. யாரையும் சந்திக்காமல் முடங்கிய புடின்! டாப் அமெரிக்கா தலைகள் வார்னிங்!","""Something"" is not right.. Alone.. Putin paralyzed without meeting anyone! Top America Heads Warning!"
63,63,வௌவாலால் இல்லையாமே.. முதன்முதலில் கொரோனா எதில் பரவியது தெரியுமா?.. ஷாக் ஆயிடுவீங்க.. கருமம்..!, Is it not because of bats.. Do you know where Corona spread first?.. You will be shocked.. Blackness..!
64,64,வாக்குச்சாவடிய கைப்பற்றிட்டாங்க.. மறுவாக்குப்பதிவு கோரி தேர்தல் ஆணையத்தை நாடிய மணிப்பூர் கட்சிகள் , The polling booths have been captured. Manipur parties have approached the Election Commission for re-polling
65,65,ஐரோப்பாவில் இருந்து உங்க அணு ஆயுதத்தை தூக்கிட்டுப் போங்க.. அமெரிக்காவுக்கு ரஷ்யா மிரட்டல் ,Remove your nuclear weapons from Europe.. Russia is a threat to America
66,66,ரஷ்ய தாக்குதலில் இந்திய மாணவர் பலி.. மளிகை கடை முன்பு நிகழ்ந்த சோகம்.. உடல் எங்கே? நண்பர்கள் தவிப்பு , Indian student killed in Russian attack.. The tragedy happened in front of the grocery store.. Where is the body? Friends suffer
67,67, உக்ரைன் கைதிகளையும் விடுவிக்க ரெடி.. ரஷ்யாவை எதிர்க்க அதிபர் ஜெலன்ஸ்கி எடுத்த முடிவு.. பலன் தருமா, Ukraine is ready to release prisoners too.. Will President Zelensky's decision to oppose Russia bear fruit?
68,68,"எழுந்து நின்று வரவேற்ற எம்.பி.க்கள்! ""விடமாட்டோம்"" ஐரோப்பிய நாடாளுமன்றத்தில் கர்ஜித்த உக்ரைன் அதிபர்","MPs stood up and welcomed! ""We will not give up,"" roared the Ukrainian president at the European Parliament"
69,69," ""ஹிட்லருக்கு"" பின் இதை செய்தது அதிபர் புதின் தான்.. உக்ரைன் நகரங்களில் குண்டு மழை.. பெரும் பரபரப்பு"," It was President Putin who did this after ""Hitler""."
70,70,உக்ரைன் போர்.. நாளை 2ஆம் கட்ட அமைதி பேச்சுவார்த்தை.. நல்ல செய்தி கிடைக்குமா? பரபர தகவல், Ukraine war.. 2nd phase of peace talks tomorrow.. Will there be good news? Miscellaneous information
71,71,உ.பி.யில் நாளை மறுநாள் 6-ம் கட்ட தேர்தல்- 5 அமைச்சர்களுக்கு அக்னி பரீட்சை , The 6th phase of elections in UP the day after tomorrow - A fire test for 5 ministers
72,72,கிரைம்ரேட் ஏறிட்டே போகுதே! சமாஜ்வாதி கட்சி பிரச்சார கூட்டத்தில் பாகிஸ்தான் ஆதரவு கோஷம்! 7 பேர் கைது,Keep up the crime rate! Support Pakistan slogan at Samajwadi Party campaign meeting! 7 people arrested
73,73,கணவன் + கள்ளக்காதலன் + காதலன்.. கடைசியில் விபரீதம்.. செப்டிக் டேங்கிற்குள் கீதா.. போன்கூட எடுக்கல, Husband + Cheater + Lover.. In the end disaster.. Geetha inside the septic tank.. Not even picking up the phone.
74,74,"""பாஜகவா? அப்படின்னா?"".. ரகசியமாக வீடுகளுக்குள் நுழைந்து பட்டைய கிளப்பிய பெண் எம்பி.. அதிர்ந்த உ.பி."," ""BJP? Really?"".. The woman MP who secretly entered houses and shook her belt.. Shocked UP."
75,75,''700 கலவரம் நடந்த இடத்தில் இப்போ ஒரு கலவரம் கூட நடக்கவில்லை'' - உபி பிரசாரத்தில் யோகி ஆதித்யநாத் ,"""Where there were 700 riots, now there is not a single riot"" - Yogi Adityanath in UP Campaign"
76,76, உத்தரப் பிரதேச தேர்தல்.. 6ஆம் கட்ட வாக்குப்பதிவு நடைபெறும் 57 தொகுதிகளில் இன்றுடன் பிரசாரம் நிறைவு , Uttar Pradesh Elections.. Campaigning in 57 constituencies for the 6th phase of polling has ended today
77,77,"தவிக்கும் மாணவர்கள்.. ""மோடி உடனே செயல்படுங்கள்.."" உக்ரைன் விவகாரம் தொடர்பாக டிரெண்ட்டாகும் மீம்ஸ் "," Suffering students.. ""Modi act immediately.."" Trending memes related to Ukraine issue"
78,78,மத்திய அரசு நேரத்தை வீண் செய்ததுதான் உக்ரைனில் நமது மாணவர்கள் படும் கஷ்டங்களுக்கு காரணம்: சிவசேனா,Central government's waste of time is the reason for our students' hardships in Ukraine: Shiv Sena
79,79,மைக்ரோசாப்ட் சிஇஓ சத்யா நாதெல்லாவின் மகன் திடீர் மரணம்.. 26 வயதுதான்.. என்ன காரணம்? , Microsoft CEO Satya Nadella's son died suddenly.. Only 26 years old.. What is the reason?
80,80, மார்ச் மாத ராசிபலன் 2022: கடக ராசிக்காரர்கள் ஆரோக்கியத்தில் கவனம் தேவை , March Horoscope 2022: Cancer natives need attention to health
81,81,"மார்ச் மாத ராசிபலன் 2022: சிம்மம், கன்னி ராசிக்காரர்களுக்கு மனமகிழ்ச்சி நிறைந்த மாதம் ", March Horoscope 2022: Happy month for Leo and Virgo
82,82, மகாசிவராத்திரி நாளில் கிரகங்களின் அற்புத சேர்க்கை: எந்த ராசிக்காரர்கள் என்ன அபிஷேகம் செய்யலாம் ,Miraculous combination of planets on Mahashivaratri day: Which zodiac signs can perform abhishekam
83,83,பணி மாறுதல் விவகாரம்: சேலத்தில் நீதிபதியை கத்தியால் குத்திய நீதிமன்ற ஊழியர் கைது , Transfer case: Court employee arrested for stabbing judge in Salem
84,84,ஜெயக்குமார் கைதை கண்டித்து ஆர்ப்பாட்டம்.. முன்னாள் முதல்வர் எடப்பாடி பழனிச்சாமி மீது வழக்குப் பதிவு , Demonstration condemning the arrest of Jayakumar.. Case registered against former Chief Minister Edappadi Palaniswami
85,85,அர்ஜுன் ரக பீரங்கிகளுக்கான உதிரி பாகங்கள் தயாரிப்பு.. திருச்சி நிறுவனங்களுக்கு நல்ல சான்ஸ்! ,Production of spare parts for Arjun type cannons.. Good chance for Trichy companies!
86,86,"""கைது.."" நள்ளிரவில் பரபரத்த சி.வி.சண்முகம் வீடு.. குவிந்த தொண்டர்கள்.. கடைசியில் ஒன்றுமில்லை! "," ""Arrested.."" CV Shanmugam house that was circulating in the middle of the night.. Volunteers gathered.. In the end nothing!"
87,87,சிவபெருமானின் ருத்ராட்சம் யார் அணிய முடியும்...பெண்கள் எப்போது ருத்ராட்சம் அணியலாம் , Who can wear Lord Shiva's Rudraksha...When women can wear Rudraksha
88,88,தன்வந்திரி மந்திரம் உச்சரித்து அறுவை சிகிச்சை செய்யும் டாக்டர்கள்! பரவும் கர்நாடக மருத்துவமனை வீடியோ, Doctors performing surgery by reciting Dhanvantri Mantra! Circulating Karnataka Hospital Video
89,89,மாணவரணி முதல் மாநகராட்சி தேர்தல் வெற்றி வரை...ஸ்டாலினின் 54 ஆண்டுகால அரசியல்...சுவாரஸ்ய நிகழ்வுகள் , From student girl to corporation election victory...Stalin's 54 years of politics...Interesting events
90,90,முதல்வர் ஸ்டாலினின் 69வது பிறந்தநாள் விழா.. தமிழ்நாடு முழுக்க திமுகவினர் உற்சாக கொண்டாட்டம் ,Chief Minister Stalin's 69th birthday celebration
91,91,அம்மாடியோவ்.. ஒரே நாளில் ரூ.105 உயர்ந்தது வணிக பயன்பாட்டிற்கான சிலிண்டர்.. இப்போது விலை என்ன? , Ammadiov..Rs.105 higher in one day Cylinder for commercial use..What is the price now?
92,92,திமுகவில் திடீர் பரபரப்பு- முதல்வர் மு.க.ஸ்டாலினை இன்று நேரில் சந்திக்கிறார் அண்ணன் மு.க.அழகிரி? ," Sudden commotion in DMK- Chief Minister M.K.Stalin will meet today in person, brother M.K.Azhagiri?"
93,93,பிரச்சனைக்கு காரணமே இதுதான்! உக்ரைன் - ரஷ்ய போரில் மூக்கை நுழைத்த கிம் ஜோங்! வடகொரியா தரும் ட்விஸ்ட் ,This is the cause of the problem! Kim Jong stuck his nose in the Ukraine-Russian war! A twist from North Korea
94,94," ""கரகரத்த குரலில் கொஞ்சும் அப்பாவை தேடுகிறேன்"".. நா தழுதழுத்து கருணாநிதியை நினைவுகூர்ந்த கனிமொழி! "," ""I am looking for a charming father with a hoarse voice""."
95,95,"""தர்ம சங்கடம்"".. ஸ்டாலின் அழைத்தும் ஆப்சென்ட் ஆன மம்தா, கேசிஆர்! எல்லாத்துக்கும் ""அவர்தான்"" காரணமாம்"," ""Dharma Sangadam"".. Mamata, KCR, who was absent even after Stalin called! ""He"" is the cause of everything"
96,96,மீண்டும் மீண்டும் அதையே சொல்லும் அண்ணாமலை... பாஜக 3-வது பெரிய கட்சியாக உருவெடுத்துவிட்டதாம்! ,Annamalai is saying the same thing again and again... BJP has emerged as the 3rd largest party!
97,97,"""அவரே"" போனில் கூப்பிட்டு.. புது தெம்பில் பாஜக.. திமுகவை டேமேஜ் செய்ய அடுத்த அஸ்திரம்.. பரபர களம்"," ""Avare"" called on the phone.. BJP in Pudu Them.. Next weapon to damage DMK.. Parabara kalam"
98,98,இந்துத்துவா தீவிரவாதியாம்.. கெத்தாக யூடியூப்பில் பேசியவரை கொத்தாக தூக்கிய சென்னை சைபர் கிரைம் போலீஸ், Hindutva is a terrorist.. Chennai cyber crime police ganged up the person who spoke on YouTube
99,99,எமர்ஜென்சி இருளை தந்தது இந்திரா.. பேரன் ராகுலை வைத்து புத்தக வெளியீடா?.. எத்தனை முரண்?.. அண்ணாமலை ,Emergency brought darkness to Indira.. Book publication with grandson Rahul?.. How ironic?.. Annamalai
100,100,"மேட்டரே வேற! வீட்டிற்கே போன பூச்சி.. நாசுக்காக ""நோ"" சொன்ன ரஜினி.. ஸ்டாலின் விழாவிற்கு வராதது ஏன்? "," Matter is different! An insect that went home.. Rajini said ""No"" to Nas.. Why didn't Stalin come to the function?"
101,101,"மகா சிவராத்திரி பூஜை நேரம், விரத நடைமுறை என்ன? இரவு 11.30 முதல் 1 மணி வழிபாடு முக்கியம்! முழு தகவல்", What is Maha Shivratri Pooja Timing and Fasting Procedure? 11.30pm to 1am worship is important! Full information
102,102,பதட்டமாக இருக்கு.. சார்ஜ் போட முடியலயாமே.. நடுவழியில் தவிக்கும் தமிழக மாணவர்கள்.. சு.வெங்கடேசன் கவலை, am nervous.. I am unable to charge.. Students of Tamil Nadu who are struggling in the middle.. Su Venkatesan is worried.
103,103, தமிழக முதல்வர் மு.க.ஸ்டாலின் 69-வது பிறந்த நாள்- பிரதமர் மோடி தொலைபேசியில் வாழ்த்து, Tamil Nadu Chief Minister M. K. Stalin's 69th birthday - Prime Minister Modi congratulated him on phone
104,104,சசிகலாவுக்கு கிடைக்க போகும் சான்ஸ்? முடிவுக்கு வருகிறதா ஒற்றை தலைமை.. விட்டு கொடுப்பது இவரா? அவரா? , Sasikala will get a chance? Is single leadership coming to an end.. Is he the one to give up? is he
105,105,"""பிரதமர் ஸ்டாலின்"".. தேசிய அளவில் எகிறி அடிக்கும் முதல்வர்.. ""அச்சாரம்"" போட்ட அண்ணா அறிவாலயம்","""Prime Minister Stalin""."
106,106,"""11 மணிக்கு பேசுனதெல்லாம் வேஸ்ட்டா"".. நேரம் பார்த்து நுழைந்த சசிகலா.. கலங்கிய ஜெயக்குமார்.. ட்விஸ்ட்"," ""Everything you talked about at 11 was a waste""."
107,107,"மாமி, சங்கி, குடிகாரி.. பொண்டாட்டியை இப்படி சொல்வார்களா திமுகவினர்..? காயத்ரி ரகுராம் ஆவேசம்"," Mami, chunky, drunkard.. Will the DMK call Pontati like this..? Gayatri Raghuram obsession"
108,108,தாமிரபரணி கால்வாய் இணைப்பு திட்டம்: அப்பாவு தொடர்ந்த நீதிமன்ற அவதூறு வழக்கை முடித்து வைத்த ஹைகோர்ட் ,Tamirabarani Canal Linking Project: High Court dismisses Appavu's defamation case
109,109,இப்படியா கொடி கம்பம் நடுவாங்க.. முதல்வர் ஸ்டாலினுக்கு அறப்போர் இயக்க நிர்வாகி காட்டமான கேள்வி! , This is how the flag pole is raised.
110,110,அண்ணா அறிவாலயத்தில் கமகமத்த பிரியாணி! தொண்டர்களுக்கு விருந்து கொடுத்த ஸ்டாலின்! , Kamagamatha Biryani at Anna Vidyalaya! Stalin gave a party to the volunteers!
111,111,"ராகுல்ஜி! இளமையா இருக்கிறது எப்படின்றதை விட ""இந்த"" புத்தகத்தை வாங்கி படியுங்கள்.. நாராயணன் திருப்பதி ","Rahulji! Buy and read ""this"" book than how you are young.. Narayanan Tirupati"
112,112,"அந்த ""நடிகர்"" யார்.. 13 வயது பிஞ்சுவை மாறி மாறி சீரழித்த 4 காம கொடூரர்.. அதிர்ச்சியில் உறைந்த சென்னை"," Who is that ""actor"" .. 4 lecherous men who took turns to corrupt 13-year-old Pinju .. Chennai is shocked"
